,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
dass_latent[124],0.027,1.198,-2.28,2.354,0.034,0.155,649.0,191.0,1.08
dass_latent[125],0.008,1.243,-2.317,2.358,0.037,0.183,645.0,170.0,1.09
dass_latent[126],0.067,1.441,-2.697,2.827,0.067,0.135,352.0,345.0,1.06
dass_latent[127],0.081,1.42,-2.662,2.905,0.065,0.139,388.0,379.0,1.06
dass_latent[128],0.075,1.441,-2.622,2.925,0.067,0.12,352.0,351.0,1.06
dass_latent[129],-0.041,1.322,-2.717,2.574,0.069,0.218,287.0,122.0,1.11
dass_latent[130],-0.011,1.343,-2.641,2.655,0.071,0.206,280.0,162.0,1.1
dass_latent[131],-0.031,1.361,-2.708,2.772,0.073,0.219,265.0,101.0,1.1
dass_latent[132],0.138,1.609,-2.955,3.259,0.102,0.225,213.0,169.0,1.09
dass_latent[133],0.146,1.597,-3.136,3.175,0.099,0.217,221.0,123.0,1.08
dass_latent[134],0.138,1.624,-3.014,3.259,0.1,0.246,219.0,207.0,1.08
dass_latent[135],0.045,1.178,-2.168,2.427,0.03,0.16,759.0,242.0,1.08
dass_latent[136],0.06,1.178,-2.236,2.339,0.029,0.15,795.0,238.0,1.08
dass_latent[137],0.04,1.174,-2.271,2.298,0.031,0.158,732.0,196.0,1.09
dass_latent[138],0.009,1.312,-2.683,2.369,0.057,0.206,358.0,128.0,1.09
dass_latent[139],0.015,1.313,-2.624,2.397,0.057,0.198,346.0,147.0,1.09
dass_latent[140],0.014,1.268,-2.459,2.478,0.058,0.19,351.0,125.0,1.09
dass_latent[141],-0.127,2.172,-4.783,4.183,0.184,0.386,141.0,119.0,1.14
dass_latent[142],-0.12,2.184,-4.82,4.18,0.187,0.388,140.0,126.0,1.14
dass_latent[143],-0.128,2.211,-5.224,3.997,0.188,0.395,141.0,105.0,1.14
dass_latent[144],0.027,1.311,-2.668,2.429,0.058,0.227,336.0,116.0,1.1
dass_latent[145],0.007,1.291,-2.518,2.631,0.059,0.219,371.0,122.0,1.1
dass_latent[146],0.028,1.26,-2.545,2.428,0.06,0.2,327.0,112.0,1.1
dass_latent[147],-0.054,1.434,-2.814,2.706,0.068,0.149,321.0,393.0,1.06
dass_latent[148],-0.053,1.415,-2.903,2.602,0.069,0.129,323.0,358.0,1.06
dass_latent[149],-0.065,1.457,-2.821,2.706,0.066,0.149,357.0,374.0,1.06
dass_latent[150],-0.103,1.605,-3.677,2.922,0.114,0.266,203.0,135.0,1.16
