,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
dass_latent[23],0.104,1.467,-2.779,3.006,0.128,0.111,119.0,430.0,1.06
dass_latent[24],0.005,1.011,-2.015,1.928,0.011,0.042,3922.0,2497.0,1.03
dass_latent[25],-0.066,1.591,-3.275,2.866,0.155,0.077,98.0,473.0,1.03
dass_latent[26],0.095,1.977,-3.275,4.388,0.103,0.071,387.0,235.0,1.02
dass_latent[27],0.01,1.06,-2.008,2.09,0.024,0.067,1431.0,1224.0,1.03
dass_latent[28],-0.005,1.069,-2.104,2.059,0.037,0.041,662.0,1520.0,1.02
dass_latent[29],0.11,1.213,-2.182,2.524,0.05,0.044,541.0,580.0,1.01
dass_latent[30],0.022,1.79,-3.226,3.541,0.075,0.042,560.0,1267.0,1.01
dass_latent[31],-0.078,1.252,-2.608,2.298,0.074,0.046,269.0,549.0,1.01
dass_latent[32],0.048,1.685,-2.946,3.461,0.078,0.053,463.0,404.0,1.02
dass_latent[33],0.045,1.648,-2.989,3.206,0.068,0.046,473.0,2239.0,1.02
dass_latent[34],0.006,1.59,-2.999,3.076,0.047,0.042,1042.0,2379.0,1.01
dass_latent[35],-0.005,1.556,-2.86,3.024,0.039,0.053,1401.0,2122.0,1.01
dass_latent[36],0.006,1.543,-2.924,2.97,0.04,0.045,1314.0,2699.0,1.01
dass_latent[37],0.011,1.842,-3.468,3.645,0.062,0.047,823.0,1566.0,1.01
dass_latent[38],0.041,1.117,-2.109,2.239,0.036,0.041,843.0,1089.0,1.02
dass_latent[39],0.09,1.894,-3.417,4.099,0.204,0.094,90.0,126.0,1.03
dass_latent[40],0.06,1.059,-2.008,2.129,0.024,0.041,1472.0,1953.0,1.01
dass_latent[41],0.139,1.841,-3.508,3.597,0.193,0.096,85.0,391.0,1.04
dass_latent[42],0.054,1.299,-2.322,2.838,0.082,0.054,234.0,425.0,1.02
dass_latent[43],-0.045,1.272,-2.492,2.418,0.104,0.052,134.0,581.0,1.02
dass_latent[44],0.063,2.023,-3.894,3.887,0.114,0.054,261.0,1179.0,1.02
dass_latent[45],0.07,1.117,-2.102,2.242,0.034,0.047,930.0,1327.0,1.03
dass_latent[46],-0.0,1.144,-2.194,2.283,0.057,0.045,344.0,942.0,1.02
dass_latent[47],-0.155,1.99,-3.8,3.692,0.216,0.09,80.0,389.0,1.04
dass_latent[48],0.068,1.725,-2.91,3.575,0.085,0.06,417.0,233.0,1.02
dass_latent[49],0.034,2.179,-4.255,4.211,0.098,0.052,475.0,1275.0,1.01
dass_latent[50],-0.118,1.53,-3.01,2.969,0.134,0.087,117.0,424.0,1.06
dass_latent[51],0.018,1.699,-3.058,3.364,0.069,0.043,583.0,1678.0,1.02
dass_latent[52],0.022,1.181,-2.324,2.286,0.067,0.041,277.0,737.0,1.02
dass_latent[53],0.069,1.328,-2.447,2.682,0.108,0.053,134.0,583.0,1.02
dass_latent[54],0.024,1.568,-2.889,2.967,0.063,0.044,542.0,1618.0,1.02
dass_latent[55],-0.033,1.507,-3.138,2.788,0.13,0.059,126.0,399.0,1.02
dass_latent[56],-0.067,1.403,-2.892,2.638,0.124,0.099,115.0,468.0,1.04
dass_latent[57],0.085,2.065,-3.95,3.929,0.145,0.052,193.0,995.0,1.02
dass_latent[58],-0.046,1.23,-2.519,2.307,0.068,0.048,300.0,562.0,1.01
dass_latent[59],0.113,1.686,-3.29,3.277,0.167,0.091,93.0,407.0,1.04
dass_latent[60],0.042,1.156,-2.165,2.308,0.055,0.041,391.0,782.0,1.01
dass_latent[61],0.004,1.526,-2.935,2.996,0.139,0.059,112.0,550.0,1.02
dass_latent[62],0.063,1.114,-2.086,2.291,0.034,0.048,888.0,1395.0,1.02
