participant_id,n_trials,n_lapse_episodes,lapse_episodes_per_100_trials,mean_lapse_duration,median_lapse_duration,max_lapse_duration,sd_lapse_duration,n_recovered_episodes,recovery_rate,single_trial_lapses,extended_lapses_3plus,first_try_recovery_rate
cec6NLR2ZLVVw6h0TEKSNIH11v02,124,22,17.741935483870968,1.4545454545454546,1.0,3,0.6555547773570891,21,0.9545454545454546,14,2,0.6363636363636364
d9rwc0NXArcNlJvFsgKhQqkGxJq2,78,6,7.6923076923076925,7.0,7.0,12,3.559026084010437,6,1.0,0,5,0.0
dnkEqKuvjoQzAQm5yXlrAOp9ZlD3,59,8,13.559322033898304,1.75,1.0,4,1.0897247358851685,8,1.0,5,2,0.625
e7NIVznoeNMC7bBejXnMVvFNPfx1,65,7,10.76923076923077,1.0,1.0,1,0.0,7,1.0,7,0,1.0
fEq0OghbLpfD1jigl1Mbz96aMbg2,86,3,3.488372093023256,18.333333333333332,7.0,44,18.190351532856337,3,1.0,0,3,0.0
foaW7wtvY3XLNdguFUK7OvOefP93,73,7,9.58904109589041,1.5714285714285714,1.0,3,0.7284313590846835,7,1.0,4,1,0.5714285714285714
g2G9l3no7RbeRA9a1W3JnfegTnh2,97,15,15.463917525773196,2.066666666666667,1.0,7,1.6519348924485158,15,1.0,9,5,0.6
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,59,5,8.47457627118644,2.0,2.0,3,0.6324555320336759,5,1.0,1,1,0.2
h5RYP03wJuVN0xo7qAR8CKFxLaj1,110,5,4.545454545454546,7.8,1.0,34,13.105723940324701,5,1.0,3,1,0.6
hrRr560eFBNwJ0CcUjCqtSD8TdP2,86,8,9.30232558139535,3.0,2.0,7,2.179449471770337,8,1.0,3,3,0.375
i1tBstVkNiVP0qro7TgGD08IGGa2,71,6,8.450704225352112,1.8333333333333333,2.0,3,0.6871842709362768,6,1.0,2,1,0.3333333333333333
iKVZi0Oo96UrMBhPQMHWFcf55uA3,63,25,39.682539682539684,1.56,1.0,5,1.0229369482035537,24,0.96,17,3,0.68
iWsc4pghIEWOQUZKuQJMfe516UI3,74,6,8.108108108108109,2.8333333333333335,2.0,7,1.9507833184532706,6,1.0,1,2,0.16666666666666666
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,84,5,5.952380952380952,10.6,10.0,22,8.380930735902785,5,1.0,1,3,0.2
idP8RVfm74N86O0dszLXANIpjXv2,71,14,19.718309859154928,1.5714285714285714,1.0,4,0.9035079029052514,14,1.0,9,2,0.6428571428571429
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,69,4,5.797101449275362,2.5,3.0,3,0.8660254037844386,4,1.0,1,3,0.25
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,53,9,16.9811320754717,2.0,1.0,6,1.5634719199411433,9,1.0,5,2,0.5555555555555556
jzdk8E3tVXTXIozlfK5oeEb7wWp2,77,17,22.07792207792208,2.9411764705882355,2.0,9,2.1820278812931067,16,0.9411764705882353,6,8,0.35294117647058826
k8j7IpYfd8dYB0L1qyLCcrwoFOy1,89,14,15.730337078651685,1.0,1.0,1,0.0,14,1.0,14,0,1.0
kI0YdycDU0X5hcoEPjEON3Ionyd2,80,15,18.75,1.0,1.0,1,0.0,15,1.0,15,0,1.0
kR2rCtaPyPaj7YMizKUDn5xL2qx1,80,9,11.25,3.5555555555555554,3.0,12,3.166179299727779,9,1.0,2,5,0.2222222222222222
kgSRatooJJfDaMZ2yIURqb8aJuE3,62,11,17.741935483870968,1.0909090909090908,1.0,2,0.28747978728803447,11,1.0,10,0,0.9090909090909091
kxerHPSL3bQjD74HhiebYf3blPr1,114,1,0.8771929824561403,44.0,44.0,44,0.0,1,1.0,0,1,0.0
lHDkoPQu5reNCO45npeYSS9eLQl1,101,12,11.881188118811881,2.8333333333333335,1.0,15,3.826080094416332,12,1.0,7,3,0.5833333333333334
lpzDdvuMkKWkPxu6xeclmdctEp42,78,16,20.51282051282051,1.125,1.0,2,0.33071891388307384,16,1.0,14,0,0.875
m69r9GQTk2b51mvxrFLt4fZeJi52,77,3,3.896103896103896,1.3333333333333333,1.0,2,0.4714045207910317,3,1.0,2,0,0.6666666666666666
mUZzgdWKnPb2txOkJg9FHgqX5792,97,5,5.154639175257731,3.2,3.0,5,0.9797958971132712,5,1.0,0,4,0.0
mg2WZiRBn4NQDKiMK43Y8dBqyG53,123,8,6.504065040650407,2.0,2.0,3,0.7071067811865476,8,1.0,2,2,0.25
mweMgSlGM2VxThhwnupYxYzUbR23,78,6,7.6923076923076925,1.0,1.0,1,0.0,6,1.0,6,0,1.0
mwsliuPsLFhRFjtjQwYkqcCRDvi2,68,8,11.76470588235294,1.5,1.0,3,0.7071067811865476,8,1.0,5,1,0.625
nT1qJOiMyDdJ9ui4el195A8Hsgs1,68,18,26.47058823529412,1.2222222222222223,1.0,2,0.41573970964154905,18,1.0,14,0,0.7777777777777778
ohl9pXqpeSMfepC3w9h0tW5SbJw1,68,15,22.058823529411764,1.1333333333333333,1.0,2,0.3399346342395189,15,1.0,13,0,0.8666666666666667
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,80,6,7.5,1.3333333333333333,1.0,2,0.4714045207910317,6,1.0,4,0,0.6666666666666666
pRQimOpZtsekBI2I1kbnD3pycmo1,68,6,8.823529411764707,1.0,1.0,1,0.0,5,0.8333333333333334,6,0,1.0
pcbRW89vVJcviD87V3uxyG4I9st2,64,9,14.0625,1.0,1.0,1,0.0,9,1.0,9,0,1.0
