outcome,spec,term,estimate,std_error,z,P>|z|,conf_low,conf_high
WCST total errors,all_three,age,-0.19183420755030373,1.0721445129016884,-0.17892570007294734,0.8579960426737082,-2.293198839059852,1.9095304239592448
Latent meta-control,dep_only,Intercept,-1.6281875742898888,2.528769251577136,-0.6438656169495991,0.5196625794138404,-6.584484232593383,3.3281090840136045
Latent meta-control,dep_only,C(gender)[T.male],0.19625940716844537,0.3579767158608253,0.548246292210657,0.5835227998623614,-0.5053620632227006,0.8978808775595913
Latent meta-control,dep_only,z_dass_dep,-0.06309177427239139,0.17581230723015503,-0.358858690079064,0.7197008045081692,-0.4076775644823862,0.2814940159376034
Latent meta-control,dep_only,age,0.0760163320043769,0.12478616416901879,0.6091727597413384,0.5424099340241428,-0.1685600555358025,0.32059271954455626
Latent meta-control,anx_only,Intercept,-1.6262554955139699,2.578422016925474,-0.6307173476020527,0.5282253541956867,-6.6798697856330245,3.4273587946050847
Latent meta-control,anx_only,C(gender)[T.male],0.22225719184960985,0.35860179017539784,0.6197882942550296,0.5353971763559768,-0.4805894016857593,0.9251037853849791
Latent meta-control,anx_only,z_dass_anx,-0.015043075639299928,0.1394631095021059,-0.10786419213657916,0.9141034218872567,-0.28838574743539325,0.25829959615679343
Latent meta-control,anx_only,age,0.0757889004637814,0.127371531771559,0.5950222895937916,0.5518285717560485,-0.17385471446417347,0.32543251539173623
Latent meta-control,str_only,Intercept,-1.6412453543124403,2.5339716149681313,-0.6476968189452594,0.5171810621053403,-6.607738457496775,3.3252477488718943
Latent meta-control,str_only,C(gender)[T.male],0.22337200102707724,0.34579004969112265,0.6459757914567077,0.518295033499013,-0.45436404257983887,0.9011080446339933
Latent meta-control,str_only,z_dass_stress,-0.0780766509314042,0.13612740680733781,-0.5735557061033764,0.5662684926475601,-0.3448814655826189,0.1887281637198105
Latent meta-control,str_only,age,0.07606011269797142,0.1248224314474346,0.6093465078029822,0.5422947862467467,-0.16858735740172026,0.3207075827976631
Latent meta-control,all_three,Intercept,-1.8806877565599982,2.7137843260244057,-0.693012977680189,0.48830140726840754,-7.199607297377137,3.4382317842571406
Latent meta-control,all_three,C(gender)[T.male],0.1854677364138571,0.4097395070811135,0.45264792193236386,0.6508022853752405,-0.6176069405083198,0.9885424133360341
Latent meta-control,all_three,z_dass_dep,-0.031589371830305316,0.26587502195993523,-0.11881286025832666,0.9054236198452628,-0.5526948392605743,0.4895160955999637
Latent meta-control,all_three,z_dass_anx,0.11101792636332355,0.24220542137062354,0.4583626812937583,0.646691898234522,-0.36369597638344653,0.5857318291100936
Latent meta-control,all_three,z_dass_stress,-0.1274872102887238,0.2545798335760827,-0.5007749769410682,0.6165294981962687,-0.6264545152880467,0.37148009471059906
Latent meta-control,all_three,age,0.08856438052676922,0.13593472466930936,0.6515213882414611,0.5147099750431339,-0.17786278407344552,0.354991545126984
