t2_stim,t1_resp,t1_stim,t1_correct,t2_correctResp,idx,t2_resp,t2_correct,t1_correctResp,t1_rt,t2_resp_ms,participant_id,t1_rt_ms,t1_resp_ms,t2_onset_ms,task,block_index,t2_pressed_while_t1_pending,soa,t1_timeout,t2_timeout,soa_measured_ms,response_order,t1_onset_ms,trial_index,t2_rt,soa_bin
red,O,1,True,R,81,R,True,O,,1669721.599999994,GE4hogtdLdTFbNasENgtm6SO3hC3,741.9000000059605,1669589.299999982,1668919.599999994,prp,,False,50.0,False,False,72.2000000178814,T1→T2,1668847.3999999762,81.0,802.0,short
blue,E,2,True,B,82,B,True,E,,1672356.099999994,GE4hogtdLdTFbNasENgtm6SO3hC3,1490.699999988079,1672243.3999999762,1670816.8999999762,prp,,False,50.0,False,False,64.19999998807907,T1→T2,1670752.699999988,82.0,1539.2000000178814,short
red,O,3,True,R,83,R,True,O,,1674744.199999988,GE4hogtdLdTFbNasENgtm6SO3hC3,1242.0,1674625.5,1673456.199999988,prp,,False,50.0,False,False,72.69999998807907,T1→T2,1673383.5,83.0,1288.0,short
red,E,4,True,R,84,R,True,E,,1677502.5,GE4hogtdLdTFbNasENgtm6SO3hC3,1601.5,1677361.8999999762,1676974.699999988,prp,,False,1200.0,False,False,1214.300000011921,T1→T2,1675760.3999999762,84.0,527.8000000119209,long
red,E,2,True,R,85,R,True,E,,1680305.099999994,GE4hogtdLdTFbNasENgtm6SO3hC3,1607.5999999940395,1680142.799999982,1679746.0,prp,,False,1200.0,False,False,1210.800000011921,T1→T2,1678535.199999988,85.0,559.0999999940395,long
blue,O,7,True,B,87,B,True,O,,1685608.199999988,GE4hogtdLdTFbNasENgtm6SO3hC3,1829.5999999940395,1685468.8999999762,1683704.599999994,prp,,False,50.0,False,False,65.30000001192093,T1→T2,1683639.299999982,87.0,1903.5999999940395,short
blue,O,1,True,B,88,B,True,O,,1688459.3999999762,GE4hogtdLdTFbNasENgtm6SO3hC3,1667.2999999821186,1688312.3999999762,1687859.199999988,prp,,False,1200.0,False,False,1214.0999999940395,T1→T2,1686645.099999994,88.0,600.1999999880791,long
blue,E,2,True,B,89,B,True,E,,1692176.5,GE4hogtdLdTFbNasENgtm6SO3hC3,2555.7999999821186,1692042.8999999762,1689552.599999994,prp,,False,50.0,False,False,65.5,T1→T2,1689487.099999994,89.0,2623.9000000059605,short
blue,E,8,True,B,90,B,True,E,,1704325.3999999762,GE4hogtdLdTFbNasENgtm6SO3hC3,1015.9000000059604,1704228.599999994,1703406.3999999762,prp,,False,150.0,False,False,193.69999998807907,T1→T2,1703212.699999988,90.0,919.0,short
blue,E,2,True,B,91,B,True,E,,1707091.699999988,GE4hogtdLdTFbNasENgtm6SO3hC3,1591.5,1706957.799999982,1706580.0,prp,,False,1200.0,False,False,1213.7000000178814,T1→T2,1705366.299999982,91.0,511.6999999880791,long
blue,E,2,True,B,92,B,True,E,,1708919.599999994,GE4hogtdLdTFbNasENgtm6SO3hC3,693.7000000178814,1708817.5,1708200.3999999762,prp,,False,50.0,False,False,76.59999999403954,T1→T2,1708123.799999982,92.0,719.2000000178814,short
