participant_id,prp_t2_cv_all,prp_t2_cv_short,prp_t2_cv_long,prp_cascade_rate,prp_cascade_inflation,prp_pes,prp_t2_trials,stroop_post_error_slowing,stroop_post_error_rt,stroop_post_correct_rt,stroop_incong_slope,stroop_cv_all,stroop_cv_incong,stroop_cv_cong,stroop_trials,wcst_pes,wcst_post_switch_error_rate,wcst_cv_rt,wcst_trials
QreA2rLiUhV3YHeMfuHMPdGbpJ53,0.47397517095688035,0.3347699178073784,0.5986052182298839,0.008333333333333333,0.14285714285714282,153.77130216653973,120.0,349.5320513164386,1424.3666667143505,1074.8346153979119,2.33761537104897,0.31362158071154733,0.2734917008846658,0.24436176776397944,108,263.7889758661845,0.44000000000000006,0.4065805009537567,95
Qv0jhW3sqicqQvd7LfReAsI7nD73,0.37218961799585243,0.28573669860919615,0.2599193312567702,0.0,0.0,98.21680670776288,120.0,,,657.2093457933341,-2.8382687400609488,0.28107083791638415,0.3373157645945891,0.17146274969483608,108,1343.3478632428128,0.31999999999999995,0.665537415771585,77
Rc706mP0TSeIoIpMYH1SpRXjOxA2,0.4154026303119491,0.3012020349198341,0.44352803470271057,0.0,0.0,-466.54621831108534,120.0,134.94811282967646,1107.8999996185305,972.951886788854,2.4383232623921804,0.2870197882298774,0.2506583268013511,0.2895770972324249,108,3811.5169497182815,0.039999999999999994,1.0486492945594474,61
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,0.45315116258407145,0.3860818473133788,0.42216826716448874,0.0,,,120.0,,,934.1710280391658,-0.6524414951562661,0.2495970993965108,0.22068298853279134,0.23540239450717318,108,2858.3459815671163,0.31999999999999995,0.9468294938016304,81
Ru3Qf6pXZua1DfNkQdhbor6iJ403,0.38517939107112864,0.3105474635754909,0.35974970637690296,0.0,0.0,-282.01344537810996,120.0,180.05533980583925,1188.1000000000058,1008.0446601941666,-4.618340210254567,0.3648266094751856,0.2961386260232634,0.26823014759325947,108,1793.8928418802793,0.44000000000000006,0.8400102117743345,86
SOhR7IO689NQCPQu56SjATO8FR92,0.36641379205937635,0.2453726779671018,0.5106623135522416,0.008547008547008548,0.2500000000000001,369.33070175455964,117.0,276.2389438944183,1224.0666666667287,947.8277227723104,0.10232502540217414,0.3295165236281454,0.3196401776643444,0.25227087191356556,108,634.2278714435031,0.44000000000000006,0.547167238987564,100
SPCT9D90pRa1ihXS5jEw6vCmquI3,0.5077305017485851,0.3674927589499063,0.3099005650772011,0.0,0.0,41.43789474697485,119.0,-67.42596153934028,617.8000000019869,685.2259615413271,-0.050025432439285575,0.31865008591391186,0.35294999186568027,0.23974170727174726,108,1034.7912637016739,0.4,1.4026069006034965,128
SdDjNMBD2ZMTEwUphkohi2cZwUx1,0.49593211226984857,0.42811850722314015,0.2652635606744451,0.0,0.0,380.0855939832786,120.0,,,712.1364487977786,2.9065023431757133,0.26081794619319165,0.31900351805953625,0.16905008065895163,108,456.8988636069828,0.32,0.5379012404177026,84
SpSfX0ZcfcPLdlOENlfdfvEPwru2,0.437695450413864,0.2872099833347621,0.27651554597125666,0.025,0.7500000000000002,251.4655172413802,120.0,793.3679245283074,1638.0,844.6320754716926,-4.3782297596755475,0.26488285907261677,0.2732555985273805,0.2910966369384178,108,1092.8369175626963,0.31999999999999995,0.5561876282048992,72
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,0.43243349339419923,0.35174977459434975,0.5653855352574492,0.0,0.0,1741.1974359037529,118.0,,,900.6859813076313,-3.444135663375379,0.29009030949232256,0.35279801190511373,0.2693351203955557,108,1290.019696969426,0.32,1.0577819565749937,78
UK6MLdHbCaS4xIz2f3vGdpkbBzG3,0.37867258906980333,0.26938024176565284,0.31513915964385125,0.0,0.0,102.91101694384872,120.0,145.7391025656118,741.933333337307,596.1942307716952,-2.2305965297846595,0.2559421165006951,0.2770600722510738,0.20517079917785871,108,272.63957680864576,0.0,0.6680169436974638,128
Ub7nV8F55kPruh35ZpUcKoBUyn63,0.4020396329146527,0.2698187277644356,0.4666212023252281,0.0,0.0,936.1854700950473,120.0,740.6830188747285,1771.9000000059605,1031.216981131232,0.42440396239050693,0.33370206398632224,0.2885421184488267,0.3474261552537781,108,881.1015151515926,0.36,0.5548232581188419,81
UbwuSMtBsHdW3Ji41opk3GInMqi2,0.5048880474713124,0.4285046408937267,0.4168681506645863,0.0,0.0,-293.57627118645644,120.0,71.79528301964808,820.8000000007451,749.004716981097,-2.4592306890308224,0.2412716904183346,0.29209351588282045,0.19196967862578024,108,365.70082918768287,0.23999999999999994,0.6994027716778947,77
Uryn3G6dNMRdHjTi9jSNnuXQYTf1,0.386951364720843,0.27987909333431354,0.21524585663142268,0.0,0.0,105.39745762712187,119.0,,,801.2299065420874,0.6959953596440936,0.41442519974882464,0.33365854230491543,0.3228731335687227,108,344.0444444443676,0.44000000000000006,0.9465381390690235,76
VwTymW8T68MfpnJvZ2X97ILqDWS2,0.45971769558498377,0.41548573623818036,0.4550105873049729,0.008333333333333333,0.16666666666666652,-70.44561402630393,120.0,-54.22305826264096,919.2749999910593,973.4980582537003,3.20921170040268,0.35032862502582207,0.4154497000589637,0.21295580455266647,108,516.8249138936519,0.4,0.3560267565407429,81
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,0.38561819167060435,0.27657184704237964,0.4823332859260804,0.0,,,120.0,,,1005.990654205602,4.002704633598698,0.32515854436542047,0.3803361417024897,0.2918981855554946,108,922.2267857142974,0.15999999999999998,0.7233184877948736,88
WbOfW9KmUkPQK8o5hlHJnJFdpp92,0.41705892952212337,0.21198581688929735,0.2508357296325945,0.0,0.0,241.81293103625546,120.0,532.4499999976274,1699.0499999970198,1166.5999999993924,-7.349530910806137,0.37887652999548005,0.3740755353132061,0.3028293084597083,106,663.1220588224776,0.36,0.4677840016549354,98
WcTsIpSoEhYeIBSNjAbbdaNSBya2,0.465424336536096,0.35290442801450234,0.22264286434591868,0.0,0.0,-228.46810344619485,120.0,,,1054.5747663556972,-0.46448113496624344,0.25086987169989394,0.30909892378973425,0.19820743800313964,108,287.7066438369452,0.5599999999999999,0.35593000109699435,94
WeHQDy9BWldTlaQDVVlsJNCqwxA2,0.41191218469982765,0.2714936735061162,0.33325351237712864,0.0,0.0,9.4310344827893,120.0,,,904.9439252336426,-3.118171247095575,0.3424861968376474,0.38983119723492954,0.23443068541462503,108,455.6221153846034,0.44000000000000006,0.3828837055537405,107
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,0.39384322761461554,0.2450511296129552,0.30083931149666354,0.0,,,120.0,,,771.9140186800021,-0.325411698963612,0.24623343422836866,0.26250332578315466,0.19834681789364278,108,1309.9984463614933,0.36,0.7434667520332311,72
WnC6Uscb5VMIr43GASKiUCO3AYH2,0.5701272817677043,0.42915012260041746,0.33306473960028904,0.0,,,120.0,,,649.4046728970292,-2.0282724184602214,0.2803386585536247,0.3103699051497478,0.31251854124005385,108,1449.0054252237258,0.23999999999999994,0.7762859423040693,74
WqoZv41KTtTCuPKBPyClregrKAi1,0.46631303621470455,0.3392922239432351,0.5468769676077025,0.0,0.0,239.94642857139115,119.0,,,924.7102803738416,0.438341481533178,0.33553498227740214,0.38275792521949586,0.23715552206624865,108,523.9787644787937,0.2,0.4536848121587866,89
XehZHBpwr5MYzUXkj0FAYCsFG922,0.455098061149741,0.3318953131588303,0.5788775981220079,0.0,0.0,576.3369747881131,120.0,83.31185897437331,790.1666666666666,706.8548076922933,-2.642399917058534,0.28740961258718717,0.30619246532259975,0.2436526800975477,108,563.6288767970732,0.64,0.6774737942255187,115
YEU5ox3jteVINfdSTg5ymqYcS9o2,0.46593705239663447,0.34267621211369265,0.30293885032005163,0.0,0.0,-173.04406776317091,120.0,121.54070511001805,730.2666666507721,608.725961540754,-0.43090469205079385,0.24573561108808262,0.20951219885439948,0.2209130630822855,108,2099.396904769824,0.15999999999999998,0.6804937930291808,68
Yco8O7tmHlbsUBfKW2ywcZByGO32,0.40401747366310736,0.3450065482595315,0.33989114268360415,0.0,0.0,301.54529914769364,120.0,232.62830187661473,1169.699999988079,937.0716981114643,0.9699509313320632,0.3245613705028642,0.35984303005326446,0.22396692173507649,108,1390.894086017724,0.11999999999999997,0.9035373590863173,66
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,0.44964845465880177,0.30446473877453156,0.25191667501640286,0.0,0.0,366.2686781376259,119.0,201.5066667295638,984.3000000715256,782.7933333419618,-2.8903777901138237,0.25144141714221324,0.27023321078626356,0.24563370325825837,108,691.1115440128515,0.27999999999999997,0.6148055971297876,87
