public_id,stroop_interference,stroop_interference_slope,wcst_perseverative_error_rate,wcst_exploration_rt,wcst_confirmation_rt,wcst_exploitation_rt,wcst_pre_exploitation_rt,wcst_confirmation_minus_exploitation_rt,wcst_pre_exploitation_minus_exploitation_rt,wcst_exploration_rt_all,wcst_confirmation_rt_all,wcst_exploitation_rt_all,wcst_pre_exploitation_rt_all,wcst_confirmation_minus_exploitation_rt_all,wcst_pre_exploitation_minus_exploitation_rt_all
EKDVMRNY7W9I,43.21388889145521,39.43272727196753,8.433734939759036,,1574.290909089148,932.2921568619854,1574.290909089148,641.9987522271626,641.9987522271626,799.3499999940395,1621.4749999977648,965.786792452043,1566.6666666641831,655.6882075457219,600.8798742121402
MVFR6T17AUCE,151.15428570934705,-10.4180411240368,12.037037037037036,,1363.4473684210527,1150.672463770362,1363.4473684210527,212.77490465069081,212.77490465069081,1267.4444444444443,1336.5849999994039,1252.397468356392,1315.1275862064854,84.18753164301188,62.73011785009339
DPOVIJPYSVSB,73.8928571497637,80.00029761679826,8.0,,2079.699999998013,1358.1586956485457,2079.699999998013,721.5413043494673,721.5413043494673,1876.2300000011921,2079.699999998013,1398.997872337382,2007.0321428562913,680.702127660631,608.0342705189094
XGBHCR2DMZKH,92.53888888325946,-84.19434690167411,0.0,,1609.111111111111,1143.7833333341848,1609.111111111111,465.32777777692627,465.32777777692627,,1609.111111111111,1143.7833333341848,1609.111111111111,465.32777777692627,465.32777777692627
CLKICE1G3N6W,198.71404751596015,101.79005569791035,8.0,,1876.1142858323597,1607.380952403659,1876.1142858323597,268.7333334287007,268.7333334287007,2345.5125000476837,1946.0120000457764,1607.380952403659,2042.860606106845,338.63104764211744,435.47965370318593
M76BBZBXI0VS,88.84373015874098,12.902831168830973,10.0,,1433.3857142857187,1055.3714285714418,1433.3857142857187,378.01428571427687,378.01428571427687,1018.9749999999767,1420.2541666666705,1055.3714285714418,1362.9285714285713,364.88273809522866,307.5571428571295
LNUBH2EY8WAX,82.41666666667959,-27.70197691197122,7.526881720430108,,2246.6153846153666,1342.5714285714287,2246.6153846153666,904.0439560439379,904.0439560439379,2020.0000000000389,2803.2380952380786,1342.5714285714287,2705.3333333333235,1460.66666666665,1362.7619047618948
05JKD9NG60HL,125.9907936508132,4.540424242403443,1.5151515151515151,,1511.2666666670925,925.8119047616741,1511.2666666670925,585.4547619054184,585.4547619054184,,1491.495833333737,925.8119047616741,1491.495833333737,565.6839285720629,565.6839285720629
UVS5S385L8T8,230.52777778440066,56.03105556825796,10.975609756097562,,2084.0947368019506,1527.5000000099342,2084.0947368019506,556.5947367920164,556.5947367920164,1714.7555554972755,2026.7619047164917,1556.3615384789614,1933.1599999507268,470.4003662375303,376.79846147176545
6B4KR546TXWD,1.7555555535686835,3.821928894910284,8.450704225352112,,1969.052380959193,1127.5880952363923,1969.052380959193,841.4642857228007,841.4642857228007,1108.6000000119209,1915.5208333383005,1127.5880952363923,1776.3965517303038,787.9327381019082,648.8084564939115
W1YGS4Y370O9,106.88666666665051,-2.652399350670454,13.402061855670103,,1458.8833333333216,959.10545454543,1458.8833333333216,499.7778787878916,499.7778787878916,999.5666666667288,1431.949999999997,1022.5483870967479,1394.888571428574,409.4016129032492,372.3401843318262
UE9MPUEQ0ITT,160.44999999470178,-46.696652973922994,9.803921568627452,,2059.935000014305,1540.0523809554086,2059.935000014305,519.8826190588964,519.8826190588964,2703.0000000596046,2279.2956521822057,1557.0382352927152,2388.638709698954,722.2574168894905,831.6004744062386
GB5BZ4UTQ6AM,-94.169444443658,-28.479794371542944,8.974358974358974,,1661.5559999984503,1353.8047619050458,1661.5559999984503,307.7512380934045,307.7512380934045,1215.8666666671634,1833.166666665312,1353.8047619050458,1781.7249999987996,479.36190476026627,427.9202380937538
5EU5IG41RC4H,194.47500001059643,-57.651715733509555,4.545454545454546,,1942.544999986887,969.2476190640813,1942.544999986887,973.2973809228057,973.2973809228057,2775.233333349228,1885.4666666530427,969.2476190640813,1996.6874999900658,916.2190475889614,1027.4398809259847
YOBY6A6X35E5,-28.81277779624577,-10.83653314095553,12.5,,1926.7050000667573,1470.982352958006,1926.7050000667573,455.7226471087513,455.7226471087513,1619.2727272727273,1898.5120000648499,1506.248076943251,1813.1888889339234,392.26392312159896,306.9408119906725
5OV8KKLOMOGS,292.52020203224345,81.01199834620341,16.831683168316832,,2970.058333327373,1953.003921567225,2970.058333327373,1017.054411760148,1017.054411760148,1520.039999985695,2925.064705880249,2188.451666671038,2744.9333333296654,736.6130392092114,556.4816666586275
7IGDZSLLWVQS,174.84634921337874,151.86759414474835,8.75,,1583.2703703708119,1061.6476190459161,1583.2703703708119,521.6227513248957,521.6227513248957,2278.760000002384,1563.7333333365846,1061.6476190459161,1657.8157894768212,502.0857142906684,596.1681704309051
BPVXQNF3SVZ1,424.57323232895203,0.956973307698023,10.294117647058822,,1780.931578949878,1235.526190476758,1780.931578949878,545.40538847312,545.40538847312,1938.0166666905086,1746.095000001788,1235.526190476758,1790.3846153914928,510.56880952503,554.8584249147348
85GY0JRMRVW5,-16.9934126996568,23.00251767497069,15.625,,1722.6333333331127,1155.146808511082,1722.6333333331127,567.4865248220306,567.4865248220306,1549.2375000026077,1716.6138888895512,1144.7440000006557,1686.1818181828341,571.8698888888955,541.4378181821785
YN1ME23V6K7S,67.05455357138248,38.02868867231408,0.0,,5225.000000000133,3514.7191489361862,5225.000000000133,1710.2808510639466,1710.2808510639466,5950.100000000094,5382.187500000116,3337.783000000054,5445.288888889003,2044.4045000000624,2107.505888888949
AUQ8G8FDPIZR,-8.293650806896267,38.77284259996929,32.03125,,2751.119999996821,3029.930232524872,2751.119999996821,-278.8102325280506,-278.8102325280506,2427.150000035763,2421.174999984828,3255.7171052443355,2421.6729166557393,-834.5421052595075,-834.0441885885962
GVMWTRH6IO3D,164.8961904758736,111.54189560531131,8.108108108108109,,1457.331818181344,919.5309523810588,1457.331818181344,537.8008658002852,537.8008658002852,1281.7200000002981,1428.777777777226,919.5309523810588,1405.799999999581,509.2468253961672,486.2690476185221
NMGUR0PIOC99,96.93293650330043,-46.67510222217342,12.0,,2396.0541666671634,1569.2269230714212,2396.0541666671634,826.8272435957422,826.8272435957422,2359.1714285612106,2229.303030301224,1727.6249999960264,2252.029999996722,501.6780303051978,524.4050000006955
O9PSQV020V83,95.19166669580659,43.9710400446764,10.144927536231885,,2443.870588190415,1968.5714285600752,2443.870588190415,475.29915963034,475.29915963034,2164.1333332856498,2717.9368420651085,1968.5714285600752,2585.0239999580385,749.3654135050333,616.4525713979633
BGZGK3WEUGSK,334.1583333485055,113.42650252200185,11.578947368421053,,1496.078260877858,1368.2862745172838,1496.078260877858,127.79198636057413,127.79198636057413,1451.6777778201633,1546.0029411876903,1373.00000000917,1526.2604651340218,173.00294117852036,153.26046512485186
QXOMUYVWJXGX,67.33714286259249,64.52911118250044,1.639344262295082,,2177.982352986055,1449.0809523945763,2177.982352986055,728.9014005914787,728.9014005914787,2667.3999996185303,2177.982352986055,1449.0809523945763,2205.172222243415,728.9014005914787,756.0912698488387
