participant_id,wcst_pre_switch_n_switches_correct,wcst_pre_switch_rt_mean_w1_correct,wcst_pre_switch_rt_delta_w1_correct,wcst_pre_switch_n_valid_w1_correct,wcst_pre_switch_n_valid_delta_w1_correct,wcst_pre_switch_rt_mean_w2_correct,wcst_pre_switch_rt_delta_w2_correct,wcst_pre_switch_n_valid_w2_correct,wcst_pre_switch_n_valid_delta_w2_correct,wcst_pre_switch_rt_mean_w3_correct,wcst_pre_switch_rt_delta_w3_correct,wcst_pre_switch_n_valid_w3_correct,wcst_pre_switch_n_valid_delta_w3_correct,wcst_pre_switch_rt_mean_w4_correct,wcst_pre_switch_rt_delta_w4_correct,wcst_pre_switch_n_valid_w4_correct,wcst_pre_switch_n_valid_delta_w4_correct,wcst_pre_switch_rt_mean_w5_correct,wcst_pre_switch_rt_delta_w5_correct,wcst_pre_switch_n_valid_w5_correct,wcst_pre_switch_n_valid_delta_w5_correct
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,5.0,1061.660000014305,-427.3311110957464,5.0,5.0,1114.0200000107288,-416.3694444316958,5.0,5.0,1202.2000000039739,-347.98357142366115,5.0,5.0,1212.2900000035763,-387.34999999489105,5.0,5.0,1185.804000005722,-513.903333323002,5.0,5.0
PLreonkqaMeFc0UqxKUelH44UQu1,5.0,698.5600000023842,-983.6970760210992,5.0,5.0,806.7100000008941,-964.8974999993709,5.0,5.0,874.7399999996027,-1001.5937254911462,5.0,5.0,900.774999999255,-1115.3070833348359,5.0,5.0,1020.1959999996423,-1115.9215238106533,5.0,5.0
PXesLO51qlY7lJBrLdOAZiHmUR72,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0,,,0.0,0.0
PkpTH7pWpEOG9A86xSloOSozwTk2,2.0,2218.2500000000005,-759.8074999676807,2.0,2.0,2200.149999976158,-817.5392857074735,2.0,2.0,2189.2666666110354,-886.3686274811514,2.0,2.0,2332.6999999284744,-786.7674242944427,2.0,2.0,2303.7099999427796,-888.0215341261164,2.0,2.0
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,5.0,1149.599999999255,50.009999999139,5.0,5.0,1035.2199999999254,-84.94638888902136,5.0,5.0,1030.5666666666666,-102.85190476195535,5.0,5.0,998.0550000002607,-170.98785714250772,5.0,5.0,972.8680000004173,-247.38733333262297,5.0,5.0
QbOEVCaZLUMOgltUdXm58oZOALv2,5.0,1593.3200000047684,-300.75811110200027,5.0,5.0,1663.4200000047683,-245.44999638277855,5.0,5.0,1599.0866666674615,-358.7251440169049,5.0,5.0,1593.515000000596,-415.2620952311678,5.0,5.0,1583.1,-481.6370252451994,5.0,5.0
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,5.0,1787.5799999713897,-506.6108888953261,5.0,5.0,1794.3299999713897,-564.8156349272955,5.0,5.0,1877.5533333142598,-530.0591666618983,5.0,5.0,2175.4049999713898,-122.14176191443485,5.0,5.0,2106.4999999809265,-279.98066665728885,5.0,5.0
QreA2rLiUhV3YHeMfuHMPdGbpJ53,5.0,1199.9799999713898,-265.5466667083298,5.0,5.0,1325.089999961853,-137.70580397790553,5.0,5.0,1483.5399999777476,55.77712297486878,5.0,5.0,1434.5249999880791,-10.573357174737065,5.0,5.0,1437.0399999904635,0.13352377755295491,5.0,5.0
Rc706mP0TSeIoIpMYH1SpRXjOxA2,5.0,1472.219999885559,-168.78777795367765,5.0,5.0,1362.7099999427796,-325.9746429818017,5.0,5.0,1324.439999898275,-428.39285734721597,5.0,5.0,1387.5049999713897,-393.899000120163,5.0,5.0,1364.9479999923706,-521.7850001049043,5.0,5.0
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,5.0,1052.4600000858306,-967.453444343408,5.0,5.0,1213.5600000143052,-878.8567221962079,5.0,5.0,1267.1666666666665,-917.7258333226046,5.0,5.0,1392.4049999952317,-848.7058424864932,5.0,5.0,1391.475999994278,-983.6269999965032,5.0,5.0
Ru3Qf6pXZua1DfNkQdhbor6iJ403,5.0,1719.4599999999627,-289.0613888889413,5.0,5.0,1513.569999999972,-575.2756395892159,5.0,5.0,1438.7600000000248,-749.889166666649,5.0,5.0,1427.705000000028,-887.6245238094959,5.0,5.0,1425.7120000000111,-1027.3749047619026,5.0,5.0
SOhR7IO689NQCPQu56SjATO8FR92,5.0,1283.2400000000375,-189.68402020195353,5.0,5.0,1145.1800000000744,-378.43023232310753,5.0,5.0,1262.153333333321,-271.319515872991,5.0,5.0,1254.6399999999442,-321.87019841273775,5.0,5.0,1261.1719999999555,-363.15069047622126,5.0,5.0
SPCT9D90pRa1ihXS5jEw6vCmquI3,5.0,688.7599999964237,-608.4635348900514,5.0,5.0,765.7899999976158,-554.4551190527185,5.0,5.0,811.1866666654745,-530.3162514560738,5.0,5.0,838.754999999702,-522.1866190511414,5.0,5.0,838.8120000004768,-555.4546153870301,5.0,5.0
