participant_id,task,pes,pes_robust,rt_after_error,rt_after_correct,n_post_error,n_post_correct
AUKCfn4HzgVB7m6LNnh2gQb7G5s2,wcst,1306.9545455356497,761.3000001907349,2661.5545455325732,1354.5999999969235,11,62
CtJe4bZZnYUBNrcPk00d3YQFSGp2,wcst,627.7990909090604,506.44999999995343,1963.75,1335.9509090909396,8,55
CDEoAyvS8feXLKMKsaZah9agEhF3,wcst,1839.399056603864,1519.3000000000466,3086.0500000000466,1246.6509433961826,6,53
GDZGRW51kbWtAdUIHCtEd8sAtqY2,wcst,800.0953202165406,901.8999999761581,2439.6142857074738,1639.5189654909332,7,58
QreA2rLiUhV3YHeMfuHMPdGbpJ53,wcst,460.00781251862645,556.2499998807907,1805.8500000238419,1345.8421875052154,10,64
AyAnuCaltBbpEYbudoyNzTvXlcC2,wcst,2371.8230072441847,2472.449999988079,3761.737500000745,1389.9144927565603,16,69
azdL1gX79EVd9iepyCAVQrqIaQF3,wcst,838.2438888889583,1048.2500000002328,2105.4888888889304,1267.2449999999722,9,60
jzdk8E3tVXTXIozlfK5oeEb7wWp2,wcst,31.565873010764108,182.99999994039558,1321.3500000039737,1289.7841269932096,6,63
ORuVuFPU5idz3fMoXTGsbwToW2j2,wcst,675.942857182215,887.6000003814697,2172.6428572109767,1496.7000000287617,7,63
pRQimOpZtsekBI2I1kbnD3pycmo1,wcst,1556.9118182037814,1781.1000000834465,2888.1500000158944,1331.238181812113,6,55
yfjd8LbAMrYeG54927d3GiKAyXI2,wcst,1244.8767857143084,555.0500000000466,2442.457142857153,1197.5803571428446,7,56
HSggdq91WiQp16bOj7V3dABkcgk2,wcst,815.6287878639769,835.1499999761585,1978.499999976158,1162.8712121121812,10,66
PLreonkqaMeFc0UqxKUelH44UQu1,wcst,315.7550282493319,353.3999999910593,1613.953333334128,1298.1983050847962,15,59
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,wcst,810.559761904535,1274.8499999791384,2224.171428573983,1413.6116666694481,7,60
SdDjNMBD2ZMTEwUphkohi2cZwUx1,wcst,571.484548744228,437.05000019073486,1682.3111112382676,1110.8265624940395,9,64
foaW7wtvY3XLNdguFUK7OvOefP93,wcst,1167.3080508474263,1132.3499999999767,2383.9249999999593,1216.616949152533,8,59
EmfmKFDgWJdW47a6CNTNjnbYaPh2,wcst,1535.7618303745985,2246.8000000119214,3016.6571428775787,1480.8953125029802,7,64
6ABZuv4jbjgE0B8TeyUk6nwVb122,wcst,1362.9851448760517,1544.75,3151.274999976158,1788.2898551001065,8,69
WeHQDy9BWldTlaQDVVlsJNCqwxA2,wcst,398.681818181798,171.5,1614.9999999999834,1216.3181818181854,14,66
0d841i8KPjdjwCYfDuUUXj0SEjH2,wcst,1671.459999812733,2137.699999809265,3239.759999847412,1568.300000034679,5,55
0oa5NYVnIBS9NmrmRAZrahXDctP2,wcst,219.93506493282007,271.3999999910594,1026.6714285697255,806.7363636369055,7,55
5OOi73igsahMZ5IVKQwwyhnj4Cn2,wcst,554.4780701754753,491.8499999998603,2188.683333333349,1634.2052631578736,6,57
O61Eik2zvrSQLMNpFbTNEgjWwMr2,wcst,452.6234866822856,262.6999999955299,1857.22857142772,1404.6050847454344,7,59
Ub7nV8F55kPruh35ZpUcKoBUyn63,wcst,893.0727969382913,1128.5,2207.855555557542,1314.782758619251,9,58
Co587hoelyeANqFX7AYvuVQW0lZ2,wcst,708.6171428608042,604.0,1558.4571428554398,849.8399999946356,7,60
cec6NLR2ZLVVw6h0TEKSNIH11v02,wcst,-92.8069803921453,-203.0,1361.7440000000224,1454.5509803921677,25,51
M4Km1Q2P2oPliChDQkwl6k20FUI3,wcst,1096.1537361438457,1273.8999998569489,2589.79230759694,1493.6385714530945,13,70
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,wcst,2623.780740744759,2000.7499999850988,4227.6400000035765,1603.8592592588177,5,54
Ru3Qf6pXZua1DfNkQdhbor6iJ403,wcst,1406.1097222221156,1295.9000000001397,3246.7874999999185,1840.677777777803,8,63
6WFCyGwk71XLPBmbe4Vav3eotVm1,wcst,1335.8429823611912,1420.849999666214,2451.549999833107,1115.7070174719158,4,57
ASGvwW80q7VY7xFaLGZhVuErUQu2,wcst,637.6952381739541,691.4000015258794,2002.4285714285713,1364.7333332546173,7,63
JntnHLHjYhc0xJJQALM3h9R5Ozv1,wcst,2066.412991436934,2267.3000000715256,4591.52222220103,2525.1092307640956,9,65
SpSfX0ZcfcPLdlOENlfdfvEPwru2,wcst,1133.6964285713932,985.4999999999418,2203.1428571428073,1069.4464285714141,7,56
