participant_id,ucla_total,gender,age,incong_sd_rt,incong_cv_rt,cong_sd_rt,cong_cv_rt,gender_coded,z_ucla,z_age,ucla_x_gender
1dpmVw8fpcc2IHs0s9WqdU8Yvi53,32.0,female,23,325.8088042422779,0.29582079306948045,173.4678734899623,0.20153172616955706,-1,-0.7800876761740511,1.3151036526283673,0.7800876761740511
4ySuGdFDDmaAr6JUXbD4UIY6BQ13,50.0,female,19,279.11044492862004,0.28889848613813585,190.5005189135896,0.2418755596624492,-1,0.7117134575452496,-0.6888638180434304,-0.7117134575452496
tSvrYUUA5nbPdK6C5D73giKnIDv2,37.0,female,19,294.0041180469611,0.33539779604178593,341.37124975418004,0.39233064075949253,-1,-0.36569847236313424,-0.6888638180434304,0.36569847236313424
fEq0OghbLpfD1jigl1Mbz96aMbg2,31.0,female,19,321.3032649808103,0.4534427925432326,305.498093869088,0.48851686718623444,-1,-0.8629655169362345,-0.6888638180434304,0.8629655169362345
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,49.0,male,19,275.9586035207748,0.34317518262411273,194.7105373549876,0.3053045756959947,1,0.6288356167830662,-0.6888638180434304,0.6288356167830662
cEIs6U87xfbSL5eFTXDK77MmvNf1,62.0,male,19,395.22380669425064,0.42756557976734627,323.3835127112111,0.3678784058977183,1,1.70624754669145,-0.6888638180434304,1.70624754669145
AsXBOflrszVNKoFqbN61bMJqS0k2,42.0,female,19,299.8175591593783,0.35379834104613206,225.67799877046392,0.31106427939882175,-1,0.04869073144778261,-0.6888638180434304,-0.04869073144778261
Fz7EUjZCLuUBxLDUVtN6djaBTy42,49.0,male,19,292.0589411980887,0.2831125835583934,157.84593211727005,0.16741657993759,1,0.6288356167830662,-0.6888638180434304,0.6288356167830662
DzB19GqCB7fyrlEPexogWkjFzEx2,25.0,female,22,431.4214458116934,0.32387038757484343,388.4602814782969,0.3373515253848567,-1,-1.3602325615093347,0.8141117849604178,1.3602325615093347
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,49.0,female,19,400.0079721427599,0.3803361417024897,280.4249652065801,0.2918981855554946,-1,0.6288356167830662,-0.6888638180434304,-0.6288356167830662
xBGZhFOeypWnqzSQClkrwV9z2vF3,43.0,male,22,407.46701609623915,0.3562155188361388,301.54336889642144,0.32232337800806116,1,0.13156857220996598,0.8141117849604178,0.13156857220996598
tPxs1KmmX0ZKjHS9Nr63xoOPCRr2,65.0,female,20,194.9746622393863,0.2091479195867222,205.25122606584895,0.24409566018333692,-1,1.954881068978,-0.18787195037548104,-1.954881068978
y1EHXv8tUTa4BRS4fRio7bULYfA2,35.0,female,19,272.67114817301876,0.2890481336869581,192.6079296102144,0.25097130707953946,-1,-0.531454153887501,-0.6888638180434304,0.531454153887501
HyQM2xKwwuVfqidmRYF6TiRk90C2,21.0,male,19,228.0919394830433,0.3359150823235616,191.27458569927083,0.3008394936052376,1,-1.691743924558068,-0.6888638180434304,-1.691743924558068
roaf78tUWxWSEjAUcUu8O7mrQbl1,58.0,female,19,282.4748022872506,0.32476144933500384,157.92731268449666,0.2053233582162179,-1,1.3747361836427165,-0.6888638180434304,-1.3747361836427165
Rc706mP0TSeIoIpMYH1SpRXjOxA2,46.0,female,23,262.70037060468655,0.2506583268013511,277.31592032858794,0.2895770972324249,-1,0.3802020944965161,1.3151036526283673,-0.3802020944965161
i1tBstVkNiVP0qro7TgGD08IGGa2,26.0,female,20,311.16724911767443,0.24907954641375574,344.78552784689504,0.3096621037297118,-1,-1.2773547207471514,-0.18787195037548104,1.2773547207471514
h12a1QYNpYbl3T0Gj1PxUz3EnEx2,60.0,female,22,292.74267778515997,0.27848575430768546,98.35047469644037,0.1312409032942346,-1,1.5404918651670834,0.8141117849604178,-1.5404918651670834
