participant_id,congruent_mu,congruent_sigma,congruent_tau,congruent_n,incongruent_mu,incongruent_sigma,incongruent_tau,incongruent_n,mu_interference,sigma_interference,tau_interference
Co587hoelyeANqFX7AYvuVQW0lZ2,444.7096431208892,107.91470410223772,194.0343134430682,72,475.52462917432894,113.69518765460185,193.1991586607467,35,30.814986053439725,5.780483552364132,-0.8351547823215242
cec6NLR2ZLVVw6h0TEKSNIH11v02,663.9830310209405,73.47416756572994,180.77731065716185,72,854.2017536781512,196.98941932691068,22.127557259995786,36,190.21872265721072,123.51525176118074,-158.64975339716605
8mscvscxtXf7EbbLqCyy4a4pl2q2,828.572024852199,273.61198526776474,218.32624521725222,72,1075.210345590742,340.7352823306653,9.213774961384566,36,246.63832073854303,67.12329706290058,-209.11247025586766
M4Km1Q2P2oPliChDQkwl6k20FUI3,564.5228039927034,60.29171273687742,126.87872433767748,71,660.1975304298865,72.0183564941511,176.56769776723044,36,95.67472643718304,11.726643757273685,49.68897342955296
1Vb7DcXYw9R86bw5qj9eBk9fPqA2,802.6952245603446,239.64704035017914,353.0016435300241,72,824.967476570414,254.43975091955843,395.28513209715794,35,22.272252010069337,14.792710569379295,42.283488567133816
Ru3Qf6pXZua1DfNkQdhbor6iJ403,623.4936556945087,79.2552704415393,381.04114949133066,70,798.3994257515963,192.6558297799112,241.28260900336804,33,174.90577005708758,113.40055933837189,-139.75854048796262
6WFCyGwk71XLPBmbe4Vav3eotVm1,576.1176536526912,66.49977231341947,90.16233522749312,72,551.405161817404,77.62299636072208,164.74790154150958,36,-24.71249183528721,11.123224047302614,74.58556631401646
ASGvwW80q7VY7xFaLGZhVuErUQu2,738.0461589767145,138.77499694980534,103.69893811700649,72,919.8322438485186,199.13028263870436,5.0,33,181.78608487180406,60.355285688899016,-98.69893811700649
JntnHLHjYhc0xJJQALM3h9R5Ozv1,664.3919480904157,161.71598277619324,77.03244562205442,70,518.7513163225177,104.75797444497024,338.40777650910366,36,-145.64063176789796,-56.958008331223,261.37533088704924
SpSfX0ZcfcPLdlOENlfdfvEPwru2,630.9172320925342,78.11105031470173,218.06732506990832,72,710.6397776873472,182.9788654074065,143.36380517488718,35,79.72254559481303,104.86781509270476,-74.70351989502115
aM2995jJmJWvr6cneaGH58HauIg2,596.4018323881273,26.273021277848652,327.5282243982567,69,603.7566198229572,5.0,643.1935454898664,34,7.354787434829859,-21.273021277848652,315.6653210916097
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,604.5227117163233,74.5838993373902,115.55936361874332,72,669.8050522122606,104.585483768497,210.88635993323638,36,65.28234049593732,30.001584431106792,95.32699631449306
