outcome,outcome_column,n,quantile,intercept,z_age,gender_male,z_dass_depression,z_dass_anxiety,z_dass_stress,z_ucla_score,ucla_x_gender
Stroop Accuracy Facilitation,stroop_acc_facilitation,219,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop Accuracy Facilitation,stroop_acc_facilitation,219,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop Accuracy Facilitation,stroop_acc_facilitation,219,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Stroop Accuracy Facilitation,stroop_acc_facilitation,219,0.9,0.0125186848202001,0.0011277272021881,0.0163178803299487,-0.0072636935489688,0.0041765686347203,0.0022286091063397,0.0080529230776831,-0.0082291526585311
Stroop RT Incongruent minus Neutral,stroop_rt_incong_minus_neutral,219,0.1,-1.7629457951795076,-7.929587945166271,-5.835811762210895,-5.318143023413427,3.385451820613941,15.487417727991527,-8.811144963069177,39.40984564219192
Stroop RT Incongruent minus Neutral,stroop_rt_incong_minus_neutral,219,0.3,59.45487986712061,-2.477813488545645,-14.08619028867533,-18.74304901476263,15.597819432562147,1.6424590207570116,9.2029161681152,11.71385752483802
Stroop RT Incongruent minus Neutral,stroop_rt_incong_minus_neutral,219,0.5,94.866175953666,0.2328176896732867,-17.395784036491367,-9.14532091680266,10.05498238477292,2.034612156304941,-1.9531696945517687,11.13347881619193
Stroop RT Incongruent minus Neutral,stroop_rt_incong_minus_neutral,219,0.7,138.16101467611864,3.9816462138108615,-1.6982388775032078,-17.66282473900632,14.502291052436227,-4.081382563357664,-7.129848611467525,23.330166648746136
Stroop RT Incongruent minus Neutral,stroop_rt_incong_minus_neutral,219,0.9,217.824721716208,11.427999242002548,-9.432854034495136,-13.347809569346676,-15.400022042894284,12.226690041328633,-14.719148596582226,55.744574799551046
Stroop RT Neutral minus Congruent,stroop_rt_neutral_minus_cong,219,0.1,-36.506058739099394,15.870169111627703,-13.195797615750514,-9.60472597731189,8.31276634971899,-11.756923700759229,11.643659585022505,11.026427882391316
Stroop RT Neutral minus Congruent,stroop_rt_neutral_minus_cong,219,0.3,5.855858166313351,-2.133302874436731,4.917553479743556,-16.47269824392145,6.289081293764773,-0.7609293201379567,7.451955200810482,7.18549052929235
Stroop RT Neutral minus Congruent,stroop_rt_neutral_minus_cong,219,0.5,31.805052585046077,-1.135245923393152,11.325270867388667,-0.6479903307146168,-4.094415248228437,2.976565278024345,5.233906722514088,-17.543023141360944
Stroop RT Neutral minus Congruent,stroop_rt_neutral_minus_cong,219,0.7,59.3509122224465,0.9524621215703296,14.902769133601348,1.5624076224333332,3.203098418998977,-6.497090489730618,9.298076039680067,-18.621331588276373
Stroop RT Neutral minus Congruent,stroop_rt_neutral_minus_cong,219,0.9,115.76992000640897,5.463459188645979,11.190733963382783,18.22628762281647,-3.495764398245849,-14.012413557580578,6.233015566849299,-30.854965139933533
Stroop RT Interference (Correct-only),stroop_rt_interference_correct,219,0.1,21.48678062405672,11.709471844462929,0.6316676892370644,2.2369542221921703,9.171644178841266,21.424494540495196,-25.36564662079095,14.287217870952084
Stroop RT Interference (Correct-only),stroop_rt_interference_correct,219,0.3,80.42070721273817,-4.66630244681557,3.618431027214888,-11.049948622232076,4.282536078441068,8.90396530711631,4.11280550861095,2.334045587215312
Stroop RT Interference (Correct-only),stroop_rt_interference_correct,219,0.5,135.33483323491302,9.301867264300792,-13.379815566217257,-17.147580181756172,2.734278246584788,-2.499806284762824,6.940818940455436,18.130419242884955
Stroop RT Interference (Correct-only),stroop_rt_interference_correct,219,0.7,175.22070849476498,10.063133614812244,-15.274633589668971,-7.526991876706535,3.015632186800615,-9.766573748869488,3.8019393356590863,15.910640747357752
Stroop RT Interference (Correct-only),stroop_rt_interference_correct,219,0.9,298.31901046695765,13.299933193416813,-21.614559827942536,-2.4732371389295422,7.873627894431764,-13.987654835637034,1.0338191280922997,15.85100854490348
Stroop RT Facilitation (Correct-only),stroop_rt_facilitation_correct,219,0.1,-38.82997966868015,23.47386120581344,-15.44934838961909,-5.373101835137978,4.721371828078541,-13.814456472889974,8.469314980664008,19.277112611608214
Stroop RT Facilitation (Correct-only),stroop_rt_facilitation_correct,219,0.3,6.725275203845139,-2.5726110857552085,2.339769122707874,-17.395131487316796,5.437320319398104,-1.0912090222446609,9.393755426720062,3.2186692310484406
Stroop RT Facilitation (Correct-only),stroop_rt_facilitation_correct,219,0.5,31.354964435580392,-1.1099508331674774,13.824907928133944,-1.456313722220061,-3.175652954626661,-0.0485567619311207,5.955000066748855,-15.959081155528091
Stroop RT Facilitation (Correct-only),stroop_rt_facilitation_correct,219,0.7,63.29905284314689,1.1558537521604892,10.16262284841908,2.8907773941492185,2.804938196348329,-3.0858206373579558,8.100345516743888,-22.207971167792724
Stroop RT Facilitation (Correct-only),stroop_rt_facilitation_correct,219,0.9,120.58928105582312,5.869133811506975,0.7273905530406032,12.477705049215924,0.8691282454732399,-14.701255794344236,6.05091939380408,-24.795738180279017
Stroop RT Incongruent minus Neutral (Correct-only),stroop_rt_incong_minus_neutral_correct,219,0.1,1.565414469768562,-7.755435492859154,-8.89546905758426,-3.721959484874251,1.2230082638828164,19.401109242295288,-14.150473153159538,32.245809437626065
Stroop RT Incongruent minus Neutral (Correct-only),stroop_rt_incong_minus_neutral_correct,219,0.3,57.32853676343001,3.5930711909920925,-12.10242089811237,-16.69750874623508,7.33644001004258,6.718163076586282,-2.912541203403725,24.015345474053536
Stroop RT Incongruent minus Neutral (Correct-only),stroop_rt_incong_minus_neutral_correct,219,0.5,95.56193420865554,3.700212215095396,-19.816368171166907,-9.60534068499962,13.906995767703766,-0.2409420519953132,0.0089111827547679,5.708903181562702
Stroop RT Incongruent minus Neutral (Correct-only),stroop_rt_incong_minus_neutral_correct,219,0.7,139.94122803500497,4.255230164908678,-9.590876490868569,-14.491665417461943,6.548789016174187,2.878477113235953,-6.43513892142025,21.820842284737505
Stroop RT Incongruent minus Neutral (Correct-only),stroop_rt_incong_minus_neutral_correct,219,0.9,223.5354393578092,11.42622112190404,-15.458996351797282,-10.10498131168952,-6.502989214333392,6.146273588463164,-19.037393598133463,57.846588602593634
Stroop RT Neutral minus Congruent (Correct-only),stroop_rt_neutral_minus_cong_correct,219,0.1,-38.82997966868015,23.47386120581344,-15.44934838961909,-5.373101835137978,4.721371828078541,-13.814456472889974,8.469314980664008,19.277112611608214
Stroop RT Neutral minus Congruent (Correct-only),stroop_rt_neutral_minus_cong_correct,219,0.3,6.725275203845139,-2.5726110857552085,2.339769122707874,-17.395131487316796,5.437320319398104,-1.0912090222446609,9.393755426720062,3.2186692310484406
Stroop RT Neutral minus Congruent (Correct-only),stroop_rt_neutral_minus_cong_correct,219,0.5,31.354964435580392,-1.1099508331674774,13.824907928133944,-1.456313722220061,-3.175652954626661,-0.0485567619311207,5.955000066748855,-15.959081155528091
Stroop RT Neutral minus Congruent (Correct-only),stroop_rt_neutral_minus_cong_correct,219,0.7,63.29905284314689,1.1558537521604892,10.16262284841908,2.8907773941492185,2.804938196348329,-3.0858206373579558,8.100345516743888,-22.207971167792724
Stroop RT Neutral minus Congruent (Correct-only),stroop_rt_neutral_minus_cong_correct,219,0.9,120.58928105582312,5.869133811506975,0.7273905530406032,12.477705049215924,0.8691282454732399,-14.701255794344236,6.05091939380408,-24.795738180279017
Stroop CSE RT (Gratton),stroop_cse_rt,219,0.1,-202.02180523473328,-3.778487804046656,-62.39971059681797,1.5648412116809067,-27.84964964206642,46.92640670676869,-14.291454803019104,41.73694089324245
Stroop CSE RT (Gratton),stroop_cse_rt,219,0.3,-74.50901740440537,6.880876853542286,-42.2189277944692,7.474595768813693,-28.86143353684165,32.81210027184167,-15.589557471570664,-0.2044365927990533
Stroop CSE RT (Gratton),stroop_cse_rt,219,0.5,15.03870077501374,14.232190099229951,-58.51597710946365,-0.3421412144619167,-11.488252369844744,17.899161952815174,3.0433176443519616,-27.009827460598554
Stroop CSE RT (Gratton),stroop_cse_rt,219,0.7,87.45420998209255,21.104432171832126,-62.625462799592746,0.290233315503533,-22.81839393691054,17.003866142909057,33.82459027792851,-18.00123912714169
