participant_id,first_rule,n_trials,accuracy,learning_slope,trials_to_criterion,pe_rate
iZScIvzhvAdvlsBXU5D8IHwvG6Q2,colour,10,1.0,0.0,0,0.0
idP8RVfm74N86O0dszLXANIpjXv2,colour,13,0.8461538461538461,0.05494505494505495,3,0.0
iv9ew8Ci8lOzvXFiJw1acJfuRAl2,colour,11,0.9090909090909091,0.045454545454545456,1,0.0
jpklrtZKDdb3UbsoQ7Ho5KuR5yb2,colour,11,0.9090909090909091,0.045454545454545456,1,0.0
jzdk8E3tVXTXIozlfK5oeEb7wWp2,colour,10,1.0,0.0,0,0.0
k8j7IpYfd8dYB0L1qyLCcrwoFOy1,colour,10,1.0,0.0,0,0.0
kI0YdycDU0X5hcoEPjEON3Ionyd2,colour,14,0.7857142857142857,0.06813186813186813,4,0.0
kR2rCtaPyPaj7YMizKUDn5xL2qx1,colour,13,0.8461538461538461,0.05494505494505495,3,0.0
kgSRatooJJfDaMZ2yIURqb8aJuE3,colour,12,0.8333333333333334,0.06993006993006992,2,0.0
kxerHPSL3bQjD74HhiebYf3blPr1,colour,16,0.8125,0.033823529411764704,6,0.0
lHDkoPQu5reNCO45npeYSS9eLQl1,colour,30,0.5333333333333333,0.03692992213570633,20,0.0
lpzDdvuMkKWkPxu6xeclmdctEp42,colour,13,0.8461538461538461,0.04945054945054945,3,0.0
m69r9GQTk2b51mvxrFLt4fZeJi52,colour,11,0.9090909090909091,0.045454545454545456,1,0.0
mUZzgdWKnPb2txOkJg9FHgqX5792,colour,26,0.7307692307692307,0.022222222222222223,16,0.0
mg2WZiRBn4NQDKiMK43Y8dBqyG53,colour,34,0.5588235294117647,0.03437738731856379,14,0.0
mweMgSlGM2VxThhwnupYxYzUbR23,colour,17,0.7058823529411765,0.06372549019607843,7,0.0
mwsliuPsLFhRFjtjQwYkqcCRDvi2,colour,14,0.8571428571428571,0.04395604395604395,4,0.0
nT1qJOiMyDdJ9ui4el195A8Hsgs1,colour,10,1.0,0.0,0,0.0
ohl9pXqpeSMfepC3w9h0tW5SbJw1,colour,14,0.7857142857142857,0.05934065934065933,4,0.0
pFlYc8DBmSXkvMIRgXFxvo3JB6j1,colour,10,1.0,0.0,0,0.0
pRQimOpZtsekBI2I1kbnD3pycmo1,colour,14,0.7857142857142857,0.05934065934065933,4,0.0
pcbRW89vVJcviD87V3uxyG4I9st2,colour,10,1.0,0.0,0,0.0
q0Atnpm0jZS5swcVmq0EMalQUKw1,colour,13,0.7692307692307693,0.08241758241758243,3,0.0
