participant_id,n_errors,n_trials,mean_rt_lag_1,mean_acc_lag_1,mean_rt_lag_2,mean_acc_lag_2,mean_rt_lag_3,mean_acc_lag_3,mean_rt_lag_4,mean_acc_lag_4,mean_rt_lag_5,mean_acc_lag_5
GE4hogtdLdTFbNasENgtm6SO3hC3,5,63,1820.2200000047683,0.6,1816.0400000035763,0.8,1846.0600000023842,1.0,1780.9399999976158,1.0,1817.839999997616,1.0
GEwkBw3YHaNp3TCh9YS9PKVfavz1,11,74,1984.0818181796508,0.6363636363636364,1480.3363636406984,0.9090909090909091,1370.0818181796508,0.9090909090909091,1408.445454543287,0.8181818181818182,1332.990909083323,0.9090909090909091
HSggdq91WiQp16bOj7V3dABkcgk2,10,81,1602.3299999713897,0.8,1002.9599999904633,1.0,1022.4699999928474,0.8,1142.039999985695,0.9,1075.3200000166894,1.0
HbydnnT1hUP3WagAy2TJAc6GqVs2,3,60,2038.733333349228,1.0,1334.8999999364219,1.0,1633.3666666348774,1.0,1863.4000000158946,1.0,1555.966666618983,1.0
HyQM2xKwwuVfqidmRYF6TiRk90C2,10,80,1714.34999999851,0.8,1516.0599999979138,0.7,1184.1099999979137,1.0,1027.489999999106,1.0,1026.8999999985099,1.0
IaTJhUGICmO9xcL3605RW8QHneN2,19,106,1524.731578944545,0.7368421052631579,1274.8105263161033,0.7894736842105263,1176.347368420739,0.8947368421052632,1334.210526317358,0.9473684210526315,1202.4473684226211,0.8421052631578947
JntnHLHjYhc0xJJQALM3h9R5Ozv1,10,62,1881.0699999690055,0.6,1894.0699999809265,0.8,1782.300000011921,1.0,1954.4000000238418,1.0,2109.7299999952315,1.0
K26uNuY0VNPjJNF26wEx3bFg0kr2,7,68,1532.7285714285183,0.7142857142857143,1210.6714285713886,1.0,1074.7857142857142,1.0,1028.528571428598,1.0,1092.9285714285713,1.0
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,12,72,1796.4166666666667,0.5833333333333334,1803.9166666666667,0.6666666666666666,1729.9166666666472,0.8333333333333334,1559.0000000000389,0.9166666666666666,1575.4166666666472,1.0
LSLmd8jENtONZFVkIpRDX665Bu73,14,75,1602.342857139451,0.5,1686.1214285748345,0.7142857142857143,1719.8642857074738,0.8571428571428571,1592.042857136045,0.8571428571428571,1514.742857166699,0.9285714285714286
Lhv9P8ZrkDSIB7BGwooAqfu8SGF3,8,67,1524.5000000074506,1.0,1258.7250000014901,0.75,1171.1999999955297,1.0,1248.9125000089407,0.875,1179.7624999955297,1.0
LliUMEIsrCVZ88YFQfevan2Og4z1,18,95,1432.7222222222092,0.7222222222222222,1191.0388888888992,0.8333333333333334,1148.794444444473,0.7777777777777778,1274.6777777777622,0.6111111111111112,1298.6666666666667,0.7222222222222222
M4Km1Q2P2oPliChDQkwl6k20FUI3,10,88,1937.8599998950958,0.9,1640.6699999809266,0.9,1299.089999961853,0.9,1509.7799999713898,1.0,1239.4800000667572,1.0
MMSYeiMQi3gMr4PrXQcpXzFiegj2,29,105,1571.2103447914124,0.4827586206896552,1381.9724137865264,0.5172413793103449,1380.9586206797896,0.5862068965517241,1412.0758620541671,0.6206896551724138,1397.1448275714085,0.6206896551724138
O61Eik2zvrSQLMNpFbTNEgjWwMr2,10,77,2078.499999999255,0.7,1718.2099999994039,0.9,1380.9599999994039,0.9,1421.8199999988078,1.0,1401.899999999255,1.0
OExlWyngGfPrScDYjaRcv5PIAet1,3,61,1936.4333332777023,1.0,1369.299999992053,1.0,1184.8666666348774,1.0,1223.166666706403,1.0,1120.0666666825612,1.0
ORuVuFPU5idz3fMoXTGsbwToW2j2,16,84,1796.8750000298023,0.375,1652.8187500536442,0.625,1501.1125000417233,0.8125,1361.862500011921,0.9375,1435.1187499761581,1.0
ORvIk1xRWIQmKuLVe6GXNouvAXx2,16,78,2178.5125000029802,0.5625,2060.6437500193715,0.6875,1829.3312500044703,0.75,1687.1125000044703,0.875,1595.7500000074506,0.8125
P9bS6GGJcIXivbMWo4ibJ5jgUPG2,6,65,1546.2666666805744,0.8333333333333334,1151.9166666666667,1.0,1490.7166666686535,1.0,1343.8499999940395,1.0,1435.4999999900658,1.0
PLreonkqaMeFc0UqxKUelH44UQu1,18,87,1295.3444444470936,0.7777777777777778,1297.7166666678256,0.6666666666666666,1171.2833333363135,0.7222222222222222,1002.6000000014901,0.7777777777777778,1102.4500000021524,0.7777777777777778
PkpTH7pWpEOG9A86xSloOSozwTk2,44,80,1952.8953488094862,0.3953488372093023,2017.2404761711757,0.30952380952380953,1973.5707316747526,0.36585365853658536,2004.082926814149,0.36585365853658536,1990.0024999737739,0.3
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,10,73,1829.6299999993294,0.7,1366.039999999851,0.8,1265.4799999985844,1.0,973.9900000002235,1.0,853.7999999996275,1.0
QbOEVCaZLUMOgltUdXm58oZOALv2,19,91,1993.4894736754268,0.5789473684210527,1760.236842095852,0.7368421052631579,1806.4684210482396,0.7894736842105263,1615.0473684229348,0.8421052631578947,1543.4947368377134,0.7894736842105263
Qg9GDwQ9hBNkDLt50CNLd4NqRlX2,6,57,2059.2333333094916,0.8333333333333334,1401.9166666269302,1.0,1771.8666666348774,1.0,1674.5499999920528,1.0,1765.8166666825612,1.0
QreA2rLiUhV3YHeMfuHMPdGbpJ53,20,92,1550.3100000143052,0.45,1511.0149999976159,0.55,1473.0550000071526,0.65,1504.535000014305,0.75,1551.4150000095367,0.85
Qv0jhW3sqicqQvd7LfReAsI7nD73,10,73,1804.2799999952317,0.8,1276.2900000035763,0.9,1234.1300000071526,0.8,995.7799999982119,1.0,797.5000000089407,1.0
Rmd4rr2vGjOoLvdfYd4EdYyxK3m1,8,70,1899.2875000238419,0.875,1730.7124999761581,0.875,1835.9874999523163,1.0,1321.1749999523163,1.0,1333.9249999821186,1.0
Ru3Qf6pXZua1DfNkQdhbor6iJ403,9,71,1983.8111111110904,0.8888888888888888,1820.9555555555141,0.8888888888888888,1784.3555555555245,1.0,1470.5777777777466,0.8888888888888888,1744.7111111111526,1.0
SOhR7IO689NQCPQu56SjATO8FR92,22,93,1378.563636363611,0.5454545454545454,1413.4545454545455,0.5454545454545454,1319.4000000000763,0.6363636363636364,1409.1090909091924,0.7272727272727273,1329.5818181819368,0.7272727272727273
SPCT9D90pRa1ihXS5jEw6vCmquI3,21,103,1527.9619047670137,0.6666666666666666,1295.4619047627561,0.7619047619047619,1236.5047619073164,0.7619047619047619,1181.3333333347525,0.8095238095238095,1245.276190475339,0.9523809523809523
SdDjNMBD2ZMTEwUphkohi2cZwUx1,10,82,1509.629999923706,0.8,1040.700000190735,0.9,888.6000003814697,1.0,1080.6499996185303,1.0,964.639999961853,1.0
SpSfX0ZcfcPLdlOENlfdfvEPwru2,8,70,2019.249999999971,0.625,1357.125,0.875,1221.0,1.0,1225.1249999999854,1.0,1248.8749999999563,1.0
ToTCRJ4EX9OL6UlJqmDkaEbggWF2,8,71,1826.512499999255,0.75,1444.0250000059605,1.0,1390.5875000059605,1.0,1370.1875,1.0,1435.4874999932945,1.0
Ub7nV8F55kPruh35ZpUcKoBUyn63,12,77,1956.05833333234,0.6666666666666666,1565.9083333338301,0.75,1766.8333333283663,0.75,1447.2833333313465,0.9166666666666666,1458.75,0.9166666666666666
UbwuSMtBsHdW3Ji41opk3GInMqi2,8,76,1315.787500000326,0.875,1288.0000000002328,1.0,1012.3499999998603,1.0,845.3874999999534,0.875,1024.1250000002328,1.0
VwTymW8T68MfpnJvZ2X97ILqDWS2,12,80,1841.0916666686535,0.6666666666666666,1794.7666666656733,0.9166666666666666,1428.116666669647,0.9166666666666666,1259.375,1.0,1311.324999993046,0.9166666666666666
WKzqsLX1lNVSdbGgYTTVGtFwsrF3,5,76,2078.4,1.0,1358.2,0.8,1514.4,1.0,992.4000000000466,1.0,1387.4,1.0
WbOfW9KmUkPQK8o5hlHJnJFdpp92,16,94,1747.887499999255,0.5625,1727.8937499998137,0.75,1637.3562500001863,0.8125,1356.7062499988824,0.9375,1281.8812499996275,0.9375
WcTsIpSoEhYeIBSNjAbbdaNSBya2,18,90,1704.4944444456034,0.5555555555555556,1688.3944444449412,0.6666666666666666,1691.194444441961,0.6666666666666666,1820.2277777782745,0.8888888888888888,1649.2055555548932,0.8888888888888888
WeHQDy9BWldTlaQDVVlsJNCqwxA2,25,105,1511.7199999999814,0.56,1369.3599999999906,0.64,1421.959999999972,0.76,1397.8,0.88,1309.8799999999908,0.84
Wfo71fsX1VVfPZnzhT7HEYBTwnq1,9,69,1640.7777778307598,0.5555555555555556,1467.3333333863152,0.7777777777777778,1444.0333333545261,1.0,1316.6666666666667,1.0,1158.2777778307598,1.0
WnC6Uscb5VMIr43GASKiUCO3AYH2,8,70,1941.9500000029802,0.875,1566.6749999970198,0.875,1128.8999999985099,1.0,1037.2124999947846,1.0,866.7249999977648,1.0
WqoZv41KTtTCuPKBPyClregrKAi1,14,84,1841.5000000000166,0.7142857142857143,1433.9285714285882,0.5714285714285714,1638.5,0.7142857142857143,1641.5714285713952,0.7857142857142857,1559.2142857142524,0.8571428571428571
XehZHBpwr5MYzUXkj0FAYCsFG922,30,112,1599.1166666659217,0.5333333333333333,1434.8566666657725,0.7,1522.943333332489,0.6666666666666666,1436.0633333322903,0.7666666666666667,1430.5899999996027,0.8
YEU5ox3jteVINfdSTg5ymqYcS9o2,5,60,2187.140000009537,0.8,1680.500000011921,1.0,1155.999999988079,1.0,1375.2399999976158,1.0,1641.7799999952317,1.0
Yco8O7tmHlbsUBfKW2ywcZByGO32,3,61,1847.6999999980133,1.0,1688.2666666607063,1.0,1282.0,1.0,1061.6666666666667,1.0,1308.1333333353202,1.0
Z3GikGkUkjMOa6UK1xdIDvuGRHp2,9,84,1552.233333322737,1.0,1282.611111111111,0.8888888888888888,1358.8000000052982,1.0,1513.0555555290646,0.8888888888888888,1272.95555557145,1.0
