participant_id,task,n_trials,n_bursts,burst_rate,mean_burst_length,resilience_index,max_inter_burst_streak,post_burst_rt_lag1,post_burst_rt_lag2,post_burst_rt_lag3,post_burst_rt_lag4,post_burst_rt_lag5,recovery_slope,baseline_rt,rt_elevation_lag1
IaTJhUGICmO9xcL3605RW8QHneN2,wcst,106,4,3.7735849056603774,2.25,20.0,28,1629.3500000014901,1075.8999999985099,1589.4249999970198,1395.150000013411,1262.7000000029802,-19.962500002235174,1167.331034484266,462.01896551722416
JntnHLHjYhc0xJJQALM3h9R5Ozv1,wcst,62,2,3.225806451612903,3.0,24.0,24,1892.0499999523163,1541.75,2272.950000047684,2399.0,2324.949999988079,,1858.5615384578705,33.4884614944458
K26uNuY0VNPjJNF26wEx3bFg0kr2,wcst,68,2,2.941176470588235,2.0,10.0,10,1597.749999999767,1055.25,921.75,1233.1000000000931,1137.25,,1108.39836065575,489.35163934401703
K7ykiXe6CqQUKpEzs2nYrMTVuDA2,wcst,72,2,2.7777777777777777,3.5,54.0,54,2371.9999999998836,2001.0,1750.0,1104.4999999998836,1316.0,,1367.716666666659,1004.2833333332246
LSLmd8jENtONZFVkIpRDX665Bu73,wcst,75,4,5.333333333333334,2.75,11.333333333333334,19,1801.925000011921,1678.0249999761581,1658.5,1553.699999988079,1248.9750000834465,-71.71250000596046,1472.9344262295083,328.99057378241264
LliUMEIsrCVZ88YFQfevan2Og4z1,wcst,95,5,5.263157894736842,2.0,12.5,37,1225.1199999999255,1065.7200000001117,1397.5200000000186,1488.3599999999626,1554.8400000000372,86.20000000004654,1013.1999999999806,211.91999999994493
MMSYeiMQi3gMr4PrXQcpXzFiegj2,wcst,105,6,5.714285714285714,3.5,7.8,18,1634.4166666666667,1187.5833333333333,1594.0166666905086,1723.5333332618077,1383.7833333015442,-20.19999998807907,1363.9539473590098,270.4627193076569
O61Eik2zvrSQLMNpFbTNEgjWwMr2,wcst,77,2,2.5974025974025974,2.5,26.0,26,1832.0,1438.0,1614.3499999977648,1374.949999999255,1209.550000000745,,1468.6373134324356,363.3626865675644
ORuVuFPU5idz3fMoXTGsbwToW2j2,wcst,84,5,5.952380952380952,3.0,12.5,19,1697.380000114441,1715.4000000953674,1121.339999961853,1452.9999999046327,1406.2199999809266,-288.02000007629397,1514.1338235630708,183.24617655137013
ORvIk1xRWIQmKuLVe6GXNouvAXx2,wcst,78,5,6.41025641025641,2.4,9.75,13,2384.8,1916.1800000190735,1476.6,1429.0599999904632,1640.9200000047683,-454.10000000000014,1710.1258064469982,674.6741935530019
PLreonkqaMeFc0UqxKUelH44UQu1,wcst,87,4,4.597701149425287,2.0,15.0,23,1552.8000000044703,1296.2500000037253,980.875,1182.375,1000.8500000014901,-285.9625000022352,1023.2231884058834,529.5768115985869
PkpTH7pWpEOG9A86xSloOSozwTk2,wcst,80,11,13.750000000000002,3.3636363636363638,2.8,10,1791.289999985695,2109.5199999809265,2063.7699999809265,2018.8500000238419,2176.355555481381,136.23999999761577,1917.8527777592342,-126.56277777353921
QG6VXg7od2fHJ1SF9ZzYBqUa1FY2,wcst,73,2,2.73972602739726,2.5,23.0,23,2083.5499999988824,1120.2999999988824,913.0499999988824,818.3000000007451,790.1499999985099,,1043.3111111110165,1040.2388888878659
QbOEVCaZLUMOgltUdXm58oZOALv2,wcst,91,5,5.4945054945054945,2.6,11.25,20,1886.0,1655.8799999952316,1622.0199999928475,1667.3400000095367,1656.6399999976159,-131.99000000357626,1645.1055555517476,240.89444444825244
QreA2rLiUhV3YHeMfuHMPdGbpJ53,wcst,92,4,4.3478260869565215,3.75,15.0,32,1925.574999988079,1679.0,1233.675000011921,1464.675000011921,1814.675000011921,-345.94999998807907,1353.7069444523918,571.8680555356873
Qv0jhW3sqicqQvd7LfReAsI7nD73,wcst,73,2,2.73972602739726,2.0,27.0,27,1738.1499999910593,920.8500000089407,933.3500000089408,1053.8500000089407,762.8500000089407,,1070.0587301613793,668.09126982968
